,Latitude,Longitude,Measurement,Year,DensityClass
5255,16.74,-85.68,0.002072,2007,1
5256,-9.71,-140.0,0.002072,2012,1
5257,48.34,-124.93,0.002076,2002,1
5258,11.37,-160.22,0.002076,2002,1
5259,46.29,-57.62,0.002088,1989,1
5260,46.29,-57.62,0.002088,1989,1
5261,23.43,-157.12,0.002096,2003,1
5262,33.1,-156.49,0.002096,2003,1
5263,16.41,-74.33,0.002132,2008,1
5264,-15.87,-148.36,0.00214,2002,1
5265,23.14,-108.72,0.00214,2002,1
5266,17.64,-115.08,0.00214,2002,1
5267,47.19,-125.22,0.00214,2002,1
5268,-8.49,-142.18,0.00214,2003,1
5269,16.44,-78.05,0.00216,1987,1
5270,15.82,-76.78,0.00216,1987,1
5271,38.12,-69.68,0.00216,1987,1
5272,15.26,-62.65,0.00216,1987,1
5273,33.87,-65.73,0.00216,1987,1
5274,16.36,-84.47,0.00216,1987,1
5275,16.4,-82.63,0.00216,1987,1
5276,16.53,-79.06,0.00216,1987,1
5277,21.0,-73.87,0.00216,1987,1
5278,16.36,-84.47,0.00216,1987,1
5279,44.32,-61.97,0.00216,1989,1
5280,12.65,-62.57,0.00216,1989,1
5281,16.66,-64.37,0.00216,1989,1
5282,39.72,-68.86,0.00216,1989,1
5283,14.37,-61.84,0.00216,1989,1
5284,43.15,-63.38,0.00216,1989,1
5285,40.52,-67.62,0.00216,1989,1
5286,15.98,-62.68,0.00216,1989,1
5287,16.63,-63.5,0.00216,1989,1
5288,39.0,-63.12,0.00216,1990,1
5289,41.3,-68.74,0.00216,1990,1
5290,39.03,-62.98,0.00216,1990,1
5291,23.35,-73.32,0.00216,1990,1
5292,39.28,-68.57,0.00216,1990,1
5293,42.9,-64.04,0.00216,1990,1
5294,17.08,-78.18,0.00216,1991,1
5295,13.63,-62.7,0.00216,1991,1
5296,13.28,-61.38,0.00216,1991,1
5297,17.02,-70.05,0.00216,1991,1
5298,18.02,-79.13,0.00216,1991,1
5299,40.18,-70.2,0.00216,1991,1
5300,11.83,-68.02,0.00216,1991,1
5301,15.68,-62.83,0.00216,1991,1
5302,17.62,-64.97,0.00216,1991,1
5303,41.91,-69.5,0.00216,1991,1
5304,12.25,-61.77,0.00216,1991,1
5305,15.78,-75.5,0.00216,1991,1
5306,41.6,-69.21,0.00216,1991,1
5307,16.63,-63.63,0.00216,1991,1
5308,17.2,-75.4,0.00216,1991,1
5309,43.77,-63.98,0.00216,1991,1
5310,13.12,-61.55,0.00216,1991,1
5311,15.68,-62.83,0.00216,1991,1
5312,10.75,-65.8,0.00216,1991,1
5313,41.91,-69.5,0.00216,1991,1
5314,12.3,-68.83,0.00216,1991,1
5315,19.27,-58.58,0.00216,1991,1
5316,14.17,-62.08,0.00216,1991,1
5317,13.7,-61.2,0.00216,1991,1
5318,39.57,-66.27,0.00216,1991,1
5319,16.63,-63.63,0.00216,1991,1
5320,20.2,-70.38,0.00216,1992,1
5321,14.75,-81.67,0.00216,1992,1
5322,35.85,-65.93,0.00216,1992,1
